county_name,age_female_0_to_9_prct,age_female_10_to_19_prct,age_female_20_to_29_prct,age_female_30_to_39_prct,age_female_40_to_49_prct,age_female_50_to_59_prct,age_female_60_to_69_prct,age_female_70_plus_prct,age_male_0_to_9_prct,age_male_10_to_19_prct,age_male_20_to_29_prct,age_male_30_to_39_prct,age_male_40_to_49_prct,age_male_50_to_59_prct,age_male_60_to_69_prct,age_male_70_plus_prct,median_Age
Alameda,0.056,0.057,0.071,0.081,0.070,0.066,0.054,0.051,0.060,0.058,0.072,0.081,0.070,0.064,0.049,0.038,37.6
Alpine,0.049,0.055,0.027,0.055,0.045,0.051,0.092,0.092,0.041,0.072,0.035,0.071,0.027,0.061,0.113,0.114,52.2
Amador,0.037,0.048,0.037,0.046,0.041,0.074,0.090,0.089,0.040,0.049,0.055,0.069,0.074,0.077,0.090,0.084,50.5
Butte,0.057,0.059,0.087,0.057,0.050,0.061,0.066,0.067,0.059,0.062,0.093,0.057,0.054,0.059,0.058,0.053,37.1
Calaveras,0.046,0.046,0.043,0.044,0.052,0.083,0.095,0.093,0.048,0.050,0.048,0.043,0.056,0.075,0.086,0.093,52
Colusa,0.073,0.076,0.058,0.064,0.055,0.062,0.056,0.045,0.077,0.075,0.073,0.065,0.060,0.066,0.053,0.043,35.3
Contra Costa,0.060,0.063,0.060,0.066,0.071,0.073,0.060,0.058,0.061,0.068,0.062,0.064,0.068,0.069,0.053,0.044,39.7
Del Norte,0.049,0.070,0.043,0.057,0.049,0.073,0.061,0.060,0.061,0.059,0.076,0.089,0.067,0.069,0.063,0.053,39.5
El Dorado,0.049,0.059,0.047,0.056,0.060,0.083,0.080,0.068,0.051,0.063,0.053,0.056,0.058,0.077,0.078,0.062,45.9
Fresno,0.078,0.076,0.075,0.067,0.058,0.056,0.046,0.045,0.080,0.079,0.079,0.071,0.057,0.055,0.043,0.034,32.2
Glenn,0.060,0.078,0.061,0.064,0.053,0.055,0.068,0.053,0.077,0.079,0.066,0.063,0.056,0.062,0.060,0.045,36.4
Humboldt,0.054,0.058,0.082,0.063,0.055,0.062,0.068,0.061,0.054,0.060,0.082,0.066,0.062,0.058,0.063,0.051,38.4
Imperial,0.077,0.078,0.067,0.059,0.056,0.054,0.050,0.047,0.081,0.081,0.085,0.075,0.059,0.054,0.042,0.037,32.4
Inyo,0.062,0.042,0.042,0.058,0.061,0.071,0.083,0.079,0.055,0.064,0.042,0.053,0.063,0.072,0.082,0.071,45.8
Kern,0.079,0.077,0.072,0.065,0.056,0.055,0.044,0.039,0.081,0.082,0.085,0.075,0.061,0.057,0.042,0.031,31.6
Kings,0.077,0.069,0.070,0.062,0.050,0.047,0.037,0.038,0.076,0.077,0.103,0.093,0.073,0.061,0.038,0.030,31.8
Lake,0.058,0.057,0.047,0.057,0.051,0.074,0.089,0.071,0.058,0.057,0.054,0.059,0.050,0.068,0.080,0.070,45.6
Lassen,0.040,0.036,0.037,0.040,0.035,0.054,0.052,0.047,0.043,0.050,0.173,0.134,0.085,0.069,0.060,0.044,36.6
Los Angeles,0.058,0.062,0.077,0.072,0.068,0.066,0.053,0.052,0.061,0.064,0.079,0.075,0.067,0.063,0.047,0.037,36.5
Madera,0.077,0.071,0.074,0.070,0.064,0.061,0.052,0.048,0.077,0.077,0.068,0.059,0.057,0.053,0.047,0.045,34.1
Marin,0.052,0.058,0.040,0.048,0.073,0.081,0.077,0.082,0.050,0.063,0.045,0.052,0.071,0.075,0.067,0.065,46.8
Mariposa,0.039,0.043,0.049,0.046,0.053,0.082,0.080,0.098,0.050,0.041,0.046,0.057,0.054,0.076,0.105,0.081,51.7
