county_name,median_household_income,hhi_total_prct,hhi_lt_25k_prct,hhi_25k_to_49k_prct,hhi_50k_to_749k_prct,hhi_75k_to_999k_prct,hhi_100k_to_1490k_prct,hhi_150k_to_1999k_prct,hhi_200k_or_more_prct
Alameda,99406,0.348378214,0.045507661,0.045837825,0.043447609,0.040189431,0.063057642,0.042765552,0.067572494
Alpine,63750,0.336862368,0.051973051,0.076997113,0.058710298,0.028873917,0.073147257,0.01732435,0.029836381
Amador,62772,0.379765281,0.067865414,0.082229566,0.074475006,0.054047724,0.05979859,0.021468162,0.019880819
Butte,52537,0.377828064,0.093885757,0.087655048,0.063883587,0.04318984,0.048707582,0.019365238,0.021141012
Calaveras,63158,0.372237114,0.061189964,0.081601266,0.074416663,0.053148482,0.0525992,0.028606583,0.020674957
Colusa,59401,0.336860259,0.071082316,0.073039993,0.068192412,0.050899599,0.043395171,0.017013144,0.013237625
Contra Costa,99716,0.345606176,0.038441638,0.046534431,0.044833404,0.043443166,0.06531139,0.039897536,0.067144612
Del Norte,45283,0.361702128,0.10070922,0.090052737,0.068121477,0.03797054,0.045026368,0.007674123,0.012147663
El Dorado,83377,0.376394096,0.053393296,0.060658772,0.055854012,0.048848395,0.071201667,0.037653198,0.048784756
Fresno,53969,0.312747011,0.074587541,0.071848137,0.053740855,0.037455778,0.041651727,0.018189556,0.015273417
Glenn,49633,0.360487561,0.098655991,0.082820989,0.069345153,0.042572205,0.047469259,0.009901344,0.009722619
Humboldt,48041,0.402228925,0.106112991,0.101574224,0.068780344,0.046873621,0.045784905,0.016794174,0.016308666
Imperial,47622,0.248083851,0.074022833,0.056103729,0.03849453,0.029822746,0.03232965,0.010071887,0.007238477
Inyo,57316,0.442231741,0.077543528,0.118039717,0.093063359,0.055237248,0.065083162,0.019024309,0.014240418
Kern,53350,0.304494723,0.06999564,0.073312296,0.053922701,0.03478208,0.040973772,0.018079381,0.013428852
Kings,57848,0.28835166,0.054668162,0.071291583,0.057687586,0.039577679,0.040247925,0.014108341,0.010770384
Lake,47040,0.399719604,0.102048446,0.112438663,0.061967443,0.048695381,0.043289976,0.018303606,0.012976088
Lassen,56352,0.30112272,0.060289441,0.069439938,0.062495944,0.036829126,0.045525342,0.017489779,0.009053151
Los Angeles,68044,0.328995881,0.061659246,0.063397467,0.052235713,0.040483278,0.051988827,0.025672093,0.033559257
Madera,57585,0.288748207,0.055515881,0.073337065,0.051938777,0.037398751,0.044739534,0.014166876,0.011651322
Marin,115246,0.405596612,0.043301801,0.050476451,0.045479201,0.040247285,0.067360921,0.045556141,0.113174811
Mariposa,48820,0.438748565,0.113547646,0.110160735,0.078243398,0.060677382,0.045809414,0.02347876,0.006831228
Mendocino,51416,0.394478584,0.094584059,0.096831147,0.073511877,0.046512428,0.050846097,0.016486288,0.015706686
Merced,53672,0.2948169,0.064503173,0.074264321,0.054605685,0.037530124,0.036299386,0.014208754,0.013405458
Modoc,45507,0.40597283,0.102728191,0.11339396,0.09004154,0.045469855,0.044908499,0.008757157,0.000673627
Mono,62260,0.332983927,0.038853948,0.074703005,0.084556254,0.061495458,0.031656184,0.02208246,0.019636618
Monterey,71015,0.293382709,0.040691262,0.058175861,0.055690916,0.041773379,0.048383747,0.022586004,0.026081539
Napa,88596,0.348832212,0.039441926,0.056129721,0.052126082,0.045816234,0.06498213,0.037995173,0.052340947
Nevada,66096,0.411662166,0.071399782,0.09040345,0.065726895,0.053323123,0.064900649,0.029533272,0.036374995
Orange,90234,0.327486613,0.041046147,0.048564982,0.047839929,0.041986475,0.060858056,0.03635524,0.050835784
Placer,89691,0.370559153,0.047269605,0.054161738,0.055313453,0.047707983,0.074298595,0.042431883,0.049375895
Plumas,55359,0.4528403,0.094533762,0.109860665,0.078563773,0.063612004,0.063290461,0.023847803,0.019131833
Riverside,67005,0.300605987,0.0534942,0.06054725,0.051267314,0.039403443,0.050758904,0.023660146,0.021474729
Sacramento,67151,0.356186371,0.062931233,0.070408179,0.061524919,0.047404059,0.059763747,0.028235161,0.025919073
San Benito,86958,0.300367696,0.029051279,0.050599576,0.048264211,0.041324367,0.067179012,0.03153571,0.032413542
San Bernardino,63362,0.295966415,0.053894523,0.063093087,0.053664652,0.041275812,0.047223144,0.020886158,0.01592904
San Diego,78980,0.339342952,0.048125599,0.059292121,0.054731003,0.044261088,0.061249255,0.031964013,0.039719873
San Francisco,112449,0.414137316,0.064352583,0.045995193,0.040632668,0.037459955,0.064437158,0.049292483,0.111967276
San Joaquin,64432,0.307791646,0.055914129,0.063797211,0.054494797,0.040261082,0.049404594,0.023085013,0.02083482
San Luis Obispo,73518,0.375599383,0.05997909,0.067031701,0.064051176,0.050112523,0.066936013,0.03339181,0.034097071
San Mateo,122641,0.343412955,0.031272193,0.037468254,0.036695538,0.036780237,0.059267184,0.043995293,0.097934255
Santa Barbara,74624,0.327892291,0.049385269,0.061095387,0.054160138,0.041168629,0.055866412,0.027264409,0.038952047
Santa Clara,124055,0.33215303,0.032403098,0.036146347,0.035351004,0.032908943,0.05766056,0.044849466,0.092833611
Santa Cruz,82234,0.349749235,0.05530329,0.055734007,0.048397223,0.043845497,0.05839496,0.034238325,0.053835933
Shasta,54667,0.397188804,0.090914671,0.093135504,0.07084905,0.051369328,0.049940852,0.023050912,0.017928487
Sierra,52148,0.433881579,0.108223684,0.099671053,0.049013158,0.064802632,0.066118421,0.036184211,0.009868421
Siskiyou,45241,0.442624459,0.121261618,0.117948836,0.078034416,0.049001564,0.051486151,0.014309377,0.010582497
Solano,81472,0.339192312,0.042249377,0.057737269,0.056508287,0.049512368,0.067347322,0.033979209,0.031858479
Sonoma,81018,0.378920788,0.04837806,0.063733062,0.062980719,0.053716495,0.070081957,0.03831147,0.041719024
Stanislaus,60704,0.320139766,0.058873993,0.072924222,0.059798157,0.042305327,0.050806894,0.019722236,0.015708936
Sutter,59050,0.339572777,0.065290451,0.079170525,0.062626809,0.041244837,0.055395436,0.019457075,0.016387643
Tehama,44514,0.378473526,0.110401802,0.09771248,0.06521467,0.04030542,0.036753661,0.014879835,0.013205658
Trinity,40846,0.467637795,0.149370079,0.130787402,0.082755906,0.040787402,0.042362205,0.015354331,0.006220472
Tulare,49687,0.299282526,0.075308834,0.075226565,0.05184478,0.034408029,0.036168158,0.014739185,0.011586974
Tuolumne,60108,0.41635674,0.08566935,0.090720696,0.072828199,0.054288093,0.065167916,0.022333241,0.025349246
Ventura,88131,0.319900668,0.03675128,0.050635989,0.047378441,0.044914035,0.062903726,0.034829799,0.042487398
Yolo,70228,0.341823402,0.068340756,0.057018109,0.05669145,0.040924399,0.052610512,0.029675365,0.036562811
Yuba,58054,0.345128339,0.070730749,0.081102672,0.061236249,0.041985333,0.055434783,0.022367732,0.012270822
