county_name,land_area,population,population_density_sq_mi,race_and_ethnicity_white_prcnt,race_and_ethnicity_black_prct,race_and_ethnicity_native_prct,race_and_ethnicity_asian_prct,race_and_ethnicity_islander_prct,race_and_ethnicity_other_prct,race_and_ethnicity_two_prct,race_and_ethnicity_hispanic_prct
Alameda,1909614756,1656754,2247,0.314136559,0.103315278,0.003144703,0.299384218,0.008013863,0.003263611,0.044798443,0.223943325
Alpine,1912292608,1039,1.4,0.530317613,0.008662175,0.302213667,0.009624639,0,0,0.024061598,0.125120308
Amador,1539933596,38429,64.6,0.781571209,0.022066668,0.006479482,0.012412501,0.001353145,0.00026022,0.036899217,0.138957558
Butte,4238488156,225817,138,0.719773091,0.014799594,0.007523791,0.044536062,0.002107902,0.001421505,0.046360549,0.163477506
Calaveras,2641784992,45514,44.6,0.809355363,0.006920947,0.004042712,0.015028343,0.000417454,0.001208419,0.042426506,0.120600255
Colusa,2980332742,21454,18.6,0.353127622,0.011932507,0.006665424,0.0127249,0.001771231,0.001678009,0.018364874,0.593735434
Contra Costa,1857229826,1142251,1592.9,0.438250437,0.083950025,0.001994308,0.164794778,0.004637335,0.003201573,0.047275074,0.255896471
Del Norte,2606117982,27495,27.3,0.619312602,0.032696854,0.070667394,0.031351155,0.001600291,0.006401164,0.040516458,0.197454083
El Dorado,4423299441,188563,110.4,0.778238573,0.007562459,0.005467669,0.04500883,0.002503142,0.001564464,0.031321097,0.128333766
Fresno,15432139300,984521,165.2,0.294203983,0.04490407,0.004724125,0.101044061,0.001225977,0.001759231,0.021561754,0.530576798
Glenn,3403160291,27976,21.3,0.514655419,0.00689877,0.013976265,0.029489562,0.000393194,0,0.017086074,0.417500715
Humboldt,9241426488,135940,38.1,0.743548624,0.009827865,0.046079153,0.029961748,0.003177873,0.001302045,0.050448727,0.115653965
Imperial,10814594615,180701,43.3,0.106407823,0.021483002,0.00610954,0.013098987,0.001328161,0.000630876,0.008821202,0.842120409
Inyo,26410680788,17977,1.8,0.621516382,0.007843355,0.101685487,0.018078656,0.001891306,0.001946932,0.023418813,0.223619069
Kern,21062540828,887641,109.2,0.3416077,0.0515535,0.004847681,0.045885668,0.001256138,0.000983506,0.02057138,0.533294429
Kings,3600883803,150691,108.4,0.32209621,0.05825829,0.008507476,0.036929876,0.001599299,0.001586027,0.026093131,0.544929691
Lake,3254349190,64195,51.1,0.705008178,0.020733702,0.030002337,0.010655035,0.000654257,0.001729107,0.025220033,0.205997352
Lassen,11761615584,30818,6.8,0.654292946,0.084755662,0.027386592,0.013855539,0.008014797,0.001460186,0.020604841,0.189629437
Los Angeles,10511861492,10081570,2484,0.262039543,0.078385807,0.002066246,0.144299846,0.002439799,0.003215075,0.022665517,0.484888167
Madera,5534617472,155433,72.7,0.341323914,0.030688464,0.009946408,0.019429593,0.000907143,0.00160841,0.018368043,0.577728024
Marin,1347950152,259943,499.5,0.711540607,0.021262354,0.001684985,0.058128128,0.000957902,0.009021208,0.037650562,0.159754254
Mariposa,3752472150,17420,12,0.799942595,0.014523536,0.018656716,0.012055109,0.00304248,0.000688863,0.038404133,0.112686567
Mendocino,9081426663,87224,24.9,0.651850408,0.007176924,0.03368339,0.020326974,0.001891681,0.000584701,0.033431166,0.251054756
Merced,5014506620,271382,140.2,0.276499547,0.028785992,0.003430589,0.07240716,0.0022367,0.000832774,0.019548091,0.596259148
Modoc,10225096402,8907,2.3,0.776917032,0.01526889,0.041764904,0.011114853,0.001010441,0.000336814,0.008644886,0.14494218
Mono,7896838483,14310,4.7,0.650454228,0.004122991,0.016911251,0.025366876,0,0.006708595,0.026345213,0.270090846
Monterey,8499616876,433410,132.1,0.299342424,0.024773309,0.001889666,0.053870469,0.004573037,0.001294386,0.027528207,0.586728502
Napa,1937986794,139623,186.6,0.524340546,0.01991076,0.002914993,0.080187362,0.002034049,0.003767288,0.026328041,0.340516964
Nevada,2480587338,99244,103.6,0.851567853,0.004816412,0.004161461,0.010509451,0.001249446,0.000987465,0.032263915,0.094443997
Orange,2053367783,3168044,3996,0.405882936,0.016183172,0.001930529,0.202947939,0.002818143,0.001904014,0.027831053,0.340502215
Placer,3644306246,385512,274,0.726579199,0.016500135,0.003561497,0.074117018,0.001468177,0.001014236,0.036766689,0.139993048
Plumas,6612400910,18660,7.3,0.831404073,0.00755627,0.014362272,0.0113612,0.004608789,0.005037513,0.036173633,0.089496249
Riverside,18671212657,2411439,334.5,0.35319243,0.061025802,0.004297019,0.0631768,0.00268346,0.002461601,0.024044979,0.489117908
Sacramento,2499983887,1524553,1579.4,0.447232074,0.094909787,0.003643035,0.154428216,0.011167864,0.003328189,0.053538972,0.231751864
San Benito,3596591082,60376,43.5,0.342901153,0.007519544,0.003080694,0.029051279,0.000596263,0.00167285,0.017573208,0.597605009
San Bernardino,51975576263,2149031,107.1,0.28527555,0.078798305,0.003621632,0.069875679,0.002866408,0.001686341,0.024671119,0.533204965
San Diego,10904373558,3316073,787.6,0.455585869,0.047068928,0.003761678,0.116299309,0.003844005,0.001978244,0.034461847,0.33700012
San Francisco,121477743,874961,18654.8,0.405072912,0.050038802,0.001867512,0.340710043,0.003353292,0.004144185,0.042447606,0.152365648
San Joaquin,3606127799,742603,533.4,0.318486459,0.067371126,0.002285205,0.152012583,0.005460522,0.001287364,0.039062595,0.414034147
San Luis Obispo,8548557892,282165,85.5,0.688869987,0.017397622,0.005351479,0.035330392,0.000939167,0.00141761,0.025527617,0.225166126
San Mateo,1161957020,767423,1710.6,0.392382037,0.021784596,0.001508946,0.283138504,0.013150505,0.003924824,0.040114774,0.243995815
Santa Barbara,7084063392,444829,162.6,0.445099128,0.018903893,0.003599136,0.053688046,0.000869997,0.001355577,0.022743571,0.453740651
Santa Clara,3343890934,1927470,1492.9,0.315389085,0.02348104,0.001746331,0.362802015,0.003231698,0.002856076,0.035767094,0.254726662
Santa Cruz,1152794691,273962,615.5,0.572696213,0.009092502,0.001463707,0.045641366,0.000722728,0.002193735,0.032449756,0.335739993
Shasta,9778407493,179212,47.5,0.798010178,0.011327366,0.021828895,0.032057005,0.001361516,0.000993237,0.034121599,0.100300203
Sierra,2468694583,3040,3.2,0.875657895,0.000657895,0.009539474,0,0,0,0.007565789,0.106578947
Siskiyou,16261933244,43468,6.9,0.761042606,0.015735714,0.031954541,0.016011779,0.002852673,0.001173277,0.045458728,0.125770682
Solano,2128488719,441829,537.6,0.380373402,0.135011509,0.002838202,0.149938098,0.008851841,0.003700527,0.054774585,0.264511836
Sonoma,4080764059,499772,317.2,0.632332344,0.014804751,0.004688138,0.040182323,0.002967353,0.004480043,0.033285178,0.267259871
Stanislaus,3874667416,543194,363.1,0.418577893,0.028186983,0.004567429,0.053910757,0.006673491,0.001375199,0.024149751,0.462558497
Sutter,1560546528,96109,159.5,0.462100324,0.017521772,0.006503033,0.155177975,0.003912225,0.001539918,0.043721192,0.309523562
Tehama,7638228749,63912,21.7,0.683424083,0.007385155,0.013925397,0.015130179,0.000234698,0.000172112,0.030041307,0.24968707
Trinity,8234265082,12700,4,0.821023622,0.01,0.05496063,0.016535433,0.002204724,0.004015748,0.018267717,0.072992126
Tulare,12494889125,461898,95.7,0.285162525,0.01252441,0.006027305,0.032364288,0.001350948,0.00216931,0.01470671,0.645694504
Tuolumne,5752029633,54045,24.3,0.801942825,0.017540938,0.014117865,0.013544269,0.002275881,0.00077713,0.027366084,0.122435008
Ventura,4771987962,847263,459.9,0.454189549,0.016874335,0.002380607,0.071654256,0.001677165,0.001343148,0.025093743,0.426787196
Yolo,2628144759,217352,214.2,0.466763591,0.024287791,0.003050352,0.138738084,0.004062535,0.001665501,0.045336597,0.31609555
Yuba,1636913845,76360,120.8,0.551925092,0.033446831,0.007778942,0.066461498,0.003876375,0.001781037,0.052344159,0.282386066
