county_name,land_area,population,population_density_sq_mi,median_household_income,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_white,race_and_ethnicity_white_prcnt,race_and_ethnicity_black,race_and_ethnicity_black_prct,race_and_ethnicity_native,race_and_ethnicity_native_prct,race_and_ethnicity_asian,race_and_ethnicity_asian_prct,race_and_ethnicity_islander,race_and_ethnicity_islander_prct,race_and_ethnicity_other,race_and_ethnicity_other_prct,race_and_ethnicity_two,race_and_ethnicity_two_prct,race_and_ethnicity_hispanic,race_and_ethnicity_hispanic_prct,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families
Alameda,"1,909,614,756","1,656,754","2,247.0","$99,406","577,177","75,395","75,942","71,982","66,584","104,471","70,852","111,951","520,447",0.31,"171,168",0.10,"5,210",0.00,"496,006",0.30,"13,277",0.01,"5,407",0.00,"74,220",0.04,"371,019",0.22,"93,143","94,555","118,374","134,814","116,534","110,044","89,849","84,926","98,986","96,280","119,194","133,639","116,685","105,950","81,354","62,427",37.6,"1,172,662",11.6%,17.6%,23.5%,27.3%,20.1%,"384,676",6.2%,"904,174",4.6%,"608,096","$769,300","577,177","384,676","292,079","134,935","92,597","39,409","192,501"
Alpine,"1,912,292,608","1,039",1.4,"$63,750",350,54,80,61,30,76,18,31,551,0.53,9,0.01,314,0.30,10,0.01,0,0.00,0,0.00,25,0.02,130,0.13,51,57,28,57,47,53,96,96,43,75,36,74,28,63,117,118,52.2,770,8.8%,28.1%,28.6%,21.2%,13.4%,231,8.7%,392,12.5%,"1,767","$365,300",350,231,194,37,37,13,119
Amador,"1,539,933,596","38,429",64.6,"$62,772","14,594","2,608","3,160","2,862","2,077","2,298",825,764,"30,035",0.78,848,0.02,249,0.01,477,0.01,52,0.00,10,0.00,"1,418",0.04,"5,340",0.14,"1,414","1,852","1,430","1,750","1,593","2,855","3,465","3,430","1,526","1,867","2,119","2,634","2,835","2,966","3,453","3,240",50.5,"30,295",10.0%,27.5%,43.3%,13.1%,6.1%,"9,872",6.2%,"14,675",6.9%,"18,379","$313,700","14,594","9,872","7,954","2,045","1,918",838,"4,722"
Butte,"4,238,488,156","225,817",138.0,"$52,537","85,320","21,201","19,794","14,426","9,753","10,999","4,373","4,774","162,537",0.72,"3,342",0.01,"1,699",0.01,"10,057",0.04,476,0.00,321,0.00,"10,469",0.05,"36,916",0.16,"12,769","13,376","19,733","12,975","11,219","13,812","14,957","15,241","13,336","13,929","20,957","12,938","12,170","13,346","13,186","11,873",37.1,"147,509",10.8%,22.5%,39.5%,18.0%,9.2%,"51,447",11.1%,"104,557",8.1%,"96,505","$271,700","85,320","51,447","37,211","13,290","14,236","6,600","33,873"
Calaveras,"2,641,784,992","45,514",44.6,"$63,158","16,942","2,785","3,714","3,387","2,419","2,394","1,302",941,"36,837",0.81,315,0.01,184,0.00,684,0.02,19,0.00,55,0.00,"1,931",0.04,"5,489",0.12,"2,097","2,080","1,951","2,017","2,378","3,773","4,310","4,245","2,173","2,263","2,163","1,937","2,562","3,433","3,904","4,228",52.0,"34,848",9.8%,28.0%,43.9%,12.2%,6.1%,"11,691",7.4%,"18,397",6.4%,"27,995","$319,500","16,942","11,691","9,119","1,759","2,572","1,080","5,251"
Colusa,"2,980,332,742","21,454",18.6,"$59,401","7,227","1,525","1,567","1,463","1,092",931,365,284,"7,576",0.35,256,0.01,143,0.01,273,0.01,38,0.00,36,0.00,394,0.02,"12,738",0.59,"1,560","1,620","1,237","1,376","1,175","1,329","1,193",970,"1,661","1,601","1,559","1,397","1,281","1,423","1,145",927,35.3,"13,677",28.7%,26.2%,30.0%,11.1%,3.9%,"5,327",10.3%,"10,127",4.3%,"8,044","$265,200","7,227","5,327","4,012","1,969","1,315",843,"1,900"
Contra Costa,"1,857,229,826","1,142,251","1,592.9","$99,716","394,769","43,910","53,154","51,211","49,623","74,602","45,573","76,696","500,592",0.44,"95,892",0.08,"2,278",0.00,"188,237",0.16,"5,297",0.00,"3,657",0.00,"54,000",0.05,"292,298",0.26,"68,229","72,383","68,300","75,298","81,407","83,071","68,268","66,793","69,670","77,442","70,639","73,587","77,401","79,180","60,145","50,438",39.7,"787,178",10.5%,17.3%,29.9%,26.2%,16.1%,"284,806",6.2%,"590,758",5.3%,"413,719","$625,800","394,769","284,806","217,370","95,776","67,436","32,103","109,963"
Del Norte,"2,606,117,982","27,495",27.3,"$45,283","9,945","2,769","2,476","1,873","1,044","1,238",211,334,"17,028",0.62,899,0.03,"1,943",0.07,862,0.03,44,0.00,176,0.01,"1,114",0.04,"5,429",0.20,"1,350","1,931","1,195","1,574","1,361","2,013","1,668","1,658","1,671","1,612","2,093","2,449","1,840","1,902","1,728","1,450",39.5,"19,644",19.9%,31.0%,34.2%,8.7%,6.1%,"6,135",14.7%,"9,766",7.7%,"11,379","$218,800","9,945","6,135","4,295","1,555","1,840",913,"3,810"
El Dorado,"4,423,299,441","188,563",110.4,"$83,377","70,974","10,068","11,438","10,532","9,211","13,426","7,100","9,199","146,747",0.78,"1,426",0.01,"1,031",0.01,"8,487",0.05,472,0.00,295,0.00,"5,906",0.03,"24,199",0.13,"9,168","11,205","8,911","10,476","11,315","15,703","15,087","12,776","9,695","11,850","10,067","10,529","10,849","14,613","14,695","11,624",45.9,"137,028",6.6%,21.3%,37.9%,22.6%,11.7%,"49,749",5.1%,"90,018",5.5%,"90,333","$460,900","70,974","49,749","41,616","13,354","8,133","3,907","21,225"
Fresno,"15,432,139,300","984,521",165.2,"$53,969","307,906","73,433","70,736","52,909","36,876","41,007","17,908","15,037","289,650",0.29,"44,209",0.04,"4,651",0.00,"99,480",0.10,"1,207",0.00,"1,732",0.00,"21,228",0.02,"522,364",0.53,"76,479","74,450","74,157","66,117","56,815","55,519","45,436","44,402","79,064","78,168","77,530","70,208","56,234","54,036","41,941","33,965",32.2,"604,137",24.0%,22.7%,32.1%,14.0%,7.1%,"222,417",18.3%,"446,387",8.7%,"331,142","$255,000","307,906","222,417","143,986","66,234","78,431","43,575","85,489"
