county_name,land_area,population,population_density_sq_mi,median_household_income,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,hhi_total_prct,hhi_lt_25k_prct,hhi_25k_to_49k_prct,hhi_50k_to_749k_prct,hhi_75k_to_999k_prct,hhi_100k_to_1490k_prct,hhi_150k_to_1999k_prct,hhi_200k_or_more_prct,race_and_ethnicity_white,race_and_ethnicity_white_prcnt,race_and_ethnicity_black,race_and_ethnicity_black_prct,race_and_ethnicity_native,race_and_ethnicity_native_prct,race_and_ethnicity_asian,race_and_ethnicity_asian_prct,race_and_ethnicity_islander,race_and_ethnicity_islander_prct,race_and_ethnicity_other,race_and_ethnicity_other_prct,race_and_ethnicity_two,race_and_ethnicity_two_prct,race_and_ethnicity_hispanic,race_and_ethnicity_hispanic_prct,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,age_female_0_to_9_prct,age_female_10_to_19_prct,age_female_20_to_29_prct,age_female_30_to_39_prct,age_female_40_to_49_prct,age_female_50_to_59_prct,age_female_60_to_69_prct,age_female_70_plus_prct,age_male_0_to_9_prct,age_male_10_to_19_prct,age_male_20_to_29_prct,age_male_30_to_39_prct,age_male_40_to_49_prct,age_male_50_to_59_prct,age_male_60_to_69_prct,age_male_70_plus_prct,median_Age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families,
Alameda,1909614756,1656754,2247,99406,577177,75395,75942,71982,66584,104471,70852,111951,0.348378214,0.045507661,0.045837825,0.043447609,0.040189431,0.063057642,0.042765552,0.067572494,520447,0.314136559,171168,0.103315278,5210,0.003144703,496006,0.299384218,13277,0.008013863,5407,0.003263611,74220,0.044798443,371019,0.223943325,93143,94555,118374,134814,116534,110044,89849,84926,98986,96280,119194,133639,116685,105950,81354,62427,0.056,0.057,0.071,0.081,0.070,0.066,0.054,0.051,0.060,0.058,0.072,0.081,0.070,0.064,0.049,0.038,37.6,1172662,0.116,0.176,0.235,0.273,0.201,384676,0.062,904174,0.046,608096,769300,577177,384676,292079,134935,92597,39409,192501,
Alpine,1912292608,1039,1.4,63750,350,54,80,61,30,76,18,31,0.336862368,0.051973051,0.076997113,0.058710298,0.028873917,0.073147257,0.01732435,0.029836381,551,0.530317613,9,0.008662175,314,0.302213667,10,0.009624639,0,0,0,0,25,0.024061598,130,0.125120308,51,57,28,57,47,53,96,96,43,75,36,74,28,63,117,118,0.049,0.055,0.027,0.055,0.045,0.051,0.092,0.092,0.041,0.072,0.035,0.071,0.027,0.061,0.113,0.114,52.2,770,0.088,0.281,0.286,0.212,0.134,231,0.087,392,0.125,1767,365300,350,231,194,37,37,13,119,
Amador,1539933596,38429,64.6,62772,14594,2608,3160,2862,2077,2298,825,764,0.379765281,0.067865414,0.082229566,0.074475006,0.054047724,0.05979859,0.021468162,0.019880819,30035,0.781571209,848,0.022066668,249,0.006479482,477,0.012412501,52,0.001353145,10,0.00026022,1418,0.036899217,5340,0.138957558,1414,1852,1430,1750,1593,2855,3465,3430,1526,1867,2119,2634,2835,2966,3453,3240,0.037,0.048,0.037,0.046,0.041,0.074,0.090,0.089,0.040,0.049,0.055,0.069,0.074,0.077,0.090,0.084,50.5,30295,0.1,0.275,0.433,0.131,0.061,9872,0.062,14675,0.069,18379,313700,14594,9872,7954,2045,1918,838,4722,
Butte,4238488156,225817,138,52537,85320,21201,19794,14426,9753,10999,4373,4774,0.377828064,0.093885757,0.087655048,0.063883587,0.04318984,0.048707582,0.019365238,0.021141012,162537,0.719773091,3342,0.014799594,1699,0.007523791,10057,0.044536062,476,0.002107902,321,0.001421505,10469,0.046360549,36916,0.163477506,12769,13376,19733,12975,11219,13812,14957,15241,13336,13929,20957,12938,12170,13346,13186,11873,0.057,0.059,0.087,0.057,0.050,0.061,0.066,0.067,0.059,0.062,0.093,0.057,0.054,0.059,0.058,0.053,37.1,147509,0.108,0.225,0.395,0.18,0.092,51447,0.111,104557,0.081,96505,271700,85320,51447,37211,13290,14236,6600,33873,
Calaveras,2641784992,45514,44.6,63158,16942,2785,3714,3387,2419,2394,1302,941,0.372237114,0.061189964,0.081601266,0.074416663,0.053148482,0.0525992,0.028606583,0.020674957,36837,0.809355363,315,0.006920947,184,0.004042712,684,0.015028343,19,0.000417454,55,0.001208419,1931,0.042426506,5489,0.120600255,2097,2080,1951,2017,2378,3773,4310,4245,2173,2263,2163,1937,2562,3433,3904,4228,0.046,0.046,0.043,0.044,0.052,0.083,0.095,0.093,0.048,0.050,0.048,0.043,0.056,0.075,0.086,0.093,52,34848,0.098,0.28,0.439,0.122,0.061,11691,0.074,18397,0.064,27995,319500,16942,11691,9119,1759,2572,1080,5251,
Colusa,2980332742,21454,18.6,59401,7227,1525,1567,1463,1092,931,365,284,0.336860259,0.071082316,0.073039993,0.068192412,0.050899599,0.043395171,0.017013144,0.013237625,7576,0.353127622,256,0.011932507,143,0.006665424,273,0.0127249,38,0.001771231,36,0.001678009,394,0.018364874,12738,0.593735434,1560,1620,1237,1376,1175,1329,1193,970,1661,1601,1559,1397,1281,1423,1145,927,0.073,0.076,0.058,0.064,0.055,0.062,0.056,0.045,0.077,0.075,0.073,0.065,0.060,0.066,0.053,0.043,35.3,13677,0.287,0.262,0.3,0.111,0.039,5327,0.103,10127,0.043,8044,265200,7227,5327,4012,1969,1315,843,1900,
Contra Costa,1857229826,1142251,1592.9,99716,394769,43910,53154,51211,49623,74602,45573,76696,0.345606176,0.038441638,0.046534431,0.044833404,0.043443166,0.06531139,0.039897536,0.067144612,500592,0.438250437,95892,0.083950025,2278,0.001994308,188237,0.164794778,5297,0.004637335,3657,0.003201573,54000,0.047275074,292298,0.255896471,68229,72383,68300,75298,81407,83071,68268,66793,69670,77442,70639,73587,77401,79180,60145,50438,0.060,0.063,0.060,0.066,0.071,0.073,0.060,0.058,0.061,0.068,0.062,0.064,0.068,0.069,0.053,0.044,39.7,787178,0.105,0.173,0.299,0.262,0.161,284806,0.062,590758,0.053,413719,625800,394769,284806,217370,95776,67436,32103,109963,
Del Norte,2606117982,27495,27.3,45283,9945,2769,2476,1873,1044,1238,211,334,0.361702128,0.10070922,0.090052737,0.068121477,0.03797054,0.045026368,0.007674123,0.012147663,17028,0.619312602,899,0.032696854,1943,0.070667394,862,0.031351155,44,0.001600291,176,0.006401164,1114,0.040516458,5429,0.197454083,1350,1931,1195,1574,1361,2013,1668,1658,1671,1612,2093,2449,1840,1902,1728,1450,0.049,0.070,0.043,0.057,0.049,0.073,0.061,0.060,0.061,0.059,0.076,0.089,0.067,0.069,0.063,0.053,39.5,19644,0.199,0.31,0.342,0.087,0.061,6135,0.147,9766,0.077,11379,218800,9945,6135,4295,1555,1840,913,3810,
El Dorado,4423299441,188563,110.4,83377,70974,10068,11438,10532,9211,13426,7100,9199,0.376394096,0.053393296,0.060658772,0.055854012,0.048848395,0.071201667,0.037653198,0.048784756,146747,0.778238573,1426,0.007562459,1031,0.005467669,8487,0.04500883,472,0.002503142,295,0.001564464,5906,0.031321097,24199,0.128333766,9168,11205,8911,10476,11315,15703,15087,12776,9695,11850,10067,10529,10849,14613,14695,11624,0.049,0.059,0.047,0.056,0.060,0.083,0.080,0.068,0.051,0.063,0.053,0.056,0.058,0.077,0.078,0.062,45.9,137028,0.066,0.213,0.379,0.226,0.117,49749,0.051,90018,0.055,90333,460900,70974,49749,41616,13354,8133,3907,21225,
Fresno,15432139300,984521,165.2,53969,307906,73433,70736,52909,36876,41007,17908,15037,0.312747011,0.074587541,0.071848137,0.053740855,0.037455778,0.041651727,0.018189556,0.015273417,289650,0.294203983,44209,0.04490407,4651,0.004724125,99480,0.101044061,1207,0.001225977,1732,0.001759231,21228,0.021561754,522364,0.530576798,76479,74450,74157,66117,56815,55519,45436,44402,79064,78168,77530,70208,56234,54036,41941,33965,0.078,0.076,0.075,0.067,0.058,0.056,0.046,0.045,0.080,0.079,0.079,0.071,0.057,0.055,0.043,0.034,32.2,604137,0.24,0.227,0.321,0.14,0.071,222417,0.183,446387,0.087,331142,255000,307906,222417,143986,66234,78431,43575,85489,
